DEP_ARR,AIRLINE_IATA,FLIGHT_ID,TO_FROM,INT_DOM_SCHENGEN,GATE_STAND,CANCELLED,SOBT_SIBT,ATOT_ALDT,AOBT_AIBT,WEEKDAY,DELAY
DEPARTURE,DY,DY144,EVE,D,36,,2016-01-01T10:15:00,2016-01-01T10:12:00,2016-01-01T10:04:00,4,-11.0
DEPARTURE,DY,DY1078,RIX,S,46,,2016-01-01T11:15:00,2016-01-01T11:26:00,2016-01-01T11:11:00,4,-4.0
DEPARTURE,SK,SK385,OSL,D,31,,2016-02-01T21:35:00,2016-02-01T23:00:00,2016-02-01T22:39:00,0,64.0
DEPARTURE,WF,WF722,BNN,D,27,,2016-02-01T21:35:00,2016-02-01T22:07:00,2016-02-01T21:50:00,0,15.0
ARRIVAL,SK,SK4587,BOO,D,34,,2016-02-01T21:50:00,2016-02-01T22:05:00,2016-02-01T22:04:00,0,14.0
ARRIVAL,DY,DY911,CPH,S,44,,2016-02-01T22:40:00,2016-02-01T22:59:00,2016-02-01T22:56:00,0,16.0
ARRIVAL,SK,SK382,OSL,D,28,,2016-02-01T22:40:00,2016-02-02T00:02:00,2016-02-02T00:01:00,0,81.0
ARRIVAL,KL,KL1177,AMS,S,43,,2016-02-01T22:50:00,2016-02-01T23:19:00,2016-02-01T23:17:00,0,27.0
ARRIVAL,DY,DY776,OSL,D,35,,2016-02-01T22:55:00,2016-02-02T00:32:00,2016-02-02T00:30:00,0,95.0
ARRIVAL,DY,DY1341,LGW,I,41,,2016-02-01T23:35:00,2016-02-01T23:26:00,2016-02-01T23:23:00,0,-12.0
ARRIVAL,SK,SK386,OSL,D,,C,2016-02-01T23:40:00,,,0,inf
ARRIVAL,SK,SK2884,CPH,S,42,,2016-02-02T00:25:00,2016-02-02T00:30:00,2016-02-02T00:28:00,1,3.0
DEPARTURE,SK,SK335,OSL,D,31,,2016-03-01T06:10:00,2016-03-01T06:14:00,2016-03-01T06:07:00,1,-3.0
DEPARTURE,KL,KL1172,AMS,S,46,,2016-03-01T06:15:00,2016-03-01T06:21:00,2016-03-01T06:11:00,1,-4.0
DEPARTURE,SK,SK4481,SVG,D,32,,2016-03-01T06:20:00,2016-03-01T06:19:00,2016-03-01T06:12:00,1,-8.0
DEPARTURE,DY,DY741,OSL,D,35,,2016-03-01T06:30:00,2016-03-01T06:47:00,2016-03-01T06:26:00,1,-4.0
DEPARTURE,SK,SK4137,BGO,D,28,,2016-03-01T06:30:00,2016-03-01T06:40:00,2016-03-01T06:31:00,1,1.0
DEPARTURE,SK,SK339,OSL,D,30,,2016-03-01T06:40:00,2016-03-01T06:42:00,2016-03-01T06:34:00,1,-6.0
DEPARTURE,SK,SK4552,BOO,D,29,,2016-03-01T06:50:00,2016-03-01T06:53:00,2016-03-01T06:45:00,1,-5.0
DEPARTURE,DY,DY165,BGO,D,27,,2016-03-01T07:00:00,2016-03-01T07:00:00,2016-03-01T06:53:00,1,-7.0
DEPARTURE,SK,SK341,OSL,D,34,,2016-03-01T07:10:00,2016-03-01T07:12:00,2016-03-01T07:05:00,1,-5.0
